sim_rmse,sim_r,participant,alpha
0.213167793,0.625015751,37o95,0.00010271
0.212084146,0.629749596,37o95,9.81E-05
0.225411594,0.56462252,37o95,7.02E-05
0.209715588,0.640305096,37o95,0.006248401
0.226348145,0.559197329,37o95,2.29E-05
0.226797329,0.556739347,37o95,0.00053394
0.219062644,0.596844036,37o95,0.001042813
0.218696166,0.598969615,37o95,0.004437837
0.229564293,0.541316246,37o95,0
0.213211075,0.624771976,37o95,7.01E-05
0.209836587,0.639770279,37o95,0.001684647
0.215485001,0.614124748,37o95,0.006356585
0.21534271,0.614735453,37o95,0.002877819
0.218888656,0.597701577,37o95,0.000123428
0.222364625,0.580231184,37o95,0.000211377
0.234700587,0.510909994,37o95,0.000131118
0.209168671,0.642891271,37o95,0.000114425
0.225543453,0.563530279,37o95,0.000466365
0.215410241,0.614435595,37o95,8.39E-05
0.219065382,0.597077088,37o95,0.003188367
0.214889766,0.61877712,37o95,0.002791881
0.200931091,0.677038128,37o95,0.004672212
0.216826565,0.607893309,37o95,8.20E-05
0.205991088,0.657358636,37o95,0.0031528
0.219060827,0.596854794,37o95,0.000651259
0.216383879,0.609811639,37o95,0.000783889
0.215726063,0.612932075,37o95,0.002711188
0.219236355,0.59599565,37o95,0.000811585
0.214494646,0.618763826,37o95,0.002988655
0.217729218,0.604774085,37o95,0.00202814
0.213197409,0.624686647,37o95,0.0050392
0.233089085,0.521251821,37o95,1.94E-05
0.210724027,0.635846362,37o95,0.000704044
0.197567602,0.600413914,3l6s4,0.000497241
0.238694524,0.257948489,3l6s4,0.09060053
0.206876272,0.546661118,3l6s4,7.33E-05
0.198058661,0.598030148,3l6s4,0.001187208
0.195097326,0.613504186,3l6s4,0.000179391
0.188092009,0.64835725,3l6s4,0.001120146
0.191124306,0.633662376,3l6s4,0.001605655
0.197153162,0.602643805,3l6s4,4.16E-05
0.189433437,0.641927089,3l6s4,0.001408281
0.189617263,0.641042977,3l6s4,0.001272224
0.193361255,0.622444869,3l6s4,0.002422535
0.188777151,0.645087592,3l6s4,0.000305388
0.198942373,0.593079043,3l6s4,2.51E-05
0.198907771,0.593137255,3l6s4,1.96E-05
0.196136689,0.608050631,3l6s4,0.006801944
0.190622083,0.636135811,3l6s4,0.000192076
0.198997189,0.592631521,3l6s4,0.001907169
0.197887984,0.598685064,3l6s4,5.11E-05
0.203008447,0.569919633,3l6s4,8.86E-05
0.197102537,0.602980742,3l6s4,2.73E-05
0.186829107,0.654312744,3l6s4,0.000741046
0.192368488,0.627492787,3l6s4,0.000236357
0.191259342,0.63357569,3l6s4,0.001350988
0.189800529,0.640147948,3l6s4,0.000506039
0.215021938,0.49246336,3l6s4,1.04E-19
0.205762789,0.55348205,3l6s4,0.002420236
0.204655714,0.560165375,3l6s4,7.96E-05
0.204856,0.560478418,3l6s4,0.005685773
0.211925563,0.514023059,3l6s4,4.97E-05
0.184877751,0.663331273,3l6s4,0.005760471
0.193777186,0.620329527,3l6s4,0.003630259
0.194081085,0.618767649,3l6s4,0.001590906
0.202981062,0.570081402,3l6s4,0.001181646
0.210563902,0.523079588,3l6s4,5.54E-05
0.207096629,0.545273337,3l6s4,0.001159336
0.205126031,0.557340101,3l6s4,0.00185374
0.196887897,0.604119164,3l6s4,0.000662261
0.197728997,0.599550317,3l6s4,4.46E-05
0.194910035,0.614478921,3l6s4,0.000130496
0.1920448,0.629085809,3l6s4,0.00015614
0.197853439,0.598868541,3l6s4,0.004804013
0.21501241,0.492520884,3l6s4,9.65E-06
0.188294004,0.647396832,3l6s4,0.001578151
0.197744922,0.599462264,3l6s4,0.000738137
0.238688763,0.258108408,3l6s4,0.073451226
0.208233518,0.538128786,3l6s4,0.013035058
0.204461161,0.561337096,3l6s4,0.007405032
0.208914701,0.5337946,3l6s4,0.000149566
0.192599959,0.626303236,3l6s4,0.000870991
0.191968034,0.629470165,3l6s4,0.001494288
0.198550307,0.595079598,3l6s4,4.15E-05
0.191547525,0.631565175,3l6s4,0.003340893
0.198657936,0.594564872,3l6s4,0.000107576
0.214343993,0.497271617,3l6s4,2.90E-05
0.197517947,0.600682046,3l6s4,0.001578631
0.202142211,0.574924017,3l6s4,0.00178923
0.205067995,0.557692782,3l6s4,0.001040942
0.182373254,0.674594729,3l6s4,0.001101028
0.190155888,0.638418845,3l6s4,0.000242761
0.20099814,0.58145993,3l6s4,0.002576161
0.245801963,0.100604509,3l6s4,0
0.192752668,0.625531443,3l6s4,0.000495648
0.1966266,0.605452999,3l6s4,0.000193844
0.202743276,0.571525304,3l6s4,0.005695856
0.192818103,0.625199352,3l6s4,0.001377517
0.194627895,0.615942545,3l6s4,0.000627742
0.199721759,0.588626338,3l6s4,0.000330997
0.246976109,0.086393742,3l6s4,0.002194612
0.205059577,0.557745406,3l6s4,0.000739832
0.211652079,0.515815873,3l6s4,4.82E-05
0.186899422,0.653984727,3l6s4,0.001229403
0.188672692,0.645836576,3l6s4,0.000691075
0.192439498,0.627106619,3l6s4,0.004316037
0.19709411,0.602972171,3l6s4,1.54E-05
0.190789728,0.635313091,3l6s4,0.001230859
0.197360907,0.601529032,3l6s4,1.42E-05
0.187180803,0.652663516,3l6s4,0.000382549
0.202193746,0.574691135,3l6s4,0.000190007
0.203338397,0.567972529,3l6s4,0.003231391
0.196401317,0.606673086,3l6s4,0.001562218
0.19736521,0.601510554,3l6s4,0.00017779
0.215478698,0.489175405,3l6s4,4.19E-06
0.188361872,0.647073568,3l6s4,0.000219659
0.195687086,0.610421934,3l6s4,0.000113586
0.214997011,0.492650865,3l6s4,2.12E-20
0.189322659,0.642462735,3l6s4,0.001667847
0.181068972,0.680327152,3l6s4,0.000428774
0.236644028,0.28723908,3l6s4,0.1
0.195594463,0.610935425,3l6s4,0.000606419
0.201525783,0.578459369,3l6s4,0.00140547
0.197961101,0.598286002,3l6s4,3.77E-05
0.200030206,0.586908951,3l6s4,0.000511316
0.190280641,0.637808696,3l6s4,0.000718494
0.205795604,0.553286465,3l6s4,0.000175118
0.192034505,0.629139541,3l6s4,0.000252036
0.190795711,0.635282439,3l6s4,0.000466457
0.201505256,0.578580044,3l6s4,0.001788889
0.189348779,0.642336566,3l6s4,0.001593585
0.196630216,0.605434636,3l6s4,0.000239034
0.195238222,0.612770948,3l6s4,0.000369099
0.054665478,0.248080361,46vpz,0.025311916
0.051452171,0.410631131,46vpz,0.080864218
0.054913352,0.230241043,46vpz,0.1
0.055097585,0.215955045,46vpz,5.38E-05
0.056379512,0.045897503,46vpz,0.096476445
0.055605458,0.170882958,46vpz,5.88E-20
0.056138962,0.1012821,46vpz,0.076302297
0.054677395,0.247793075,46vpz,5.39E-20
0.054234487,0.276177885,46vpz,0.000488067
0.054693175,0.246141586,46vpz,0.003503724
0.055122644,0.214074263,46vpz,0.057603023
0.052401478,0.37102402,46vpz,0.002139602
0.054927111,0.229222856,46vpz,0.072119665
0.056358313,0.051643916,46vpz,0.000706338
0.056143166,0.141737319,46vpz,0.02831791
0.053584933,0.313496313,46vpz,0.00219436
0.056265212,0.07616104,46vpz,0.008991512
0.053405756,0.32296718,46vpz,0.001808991
0.052725075,0.356337888,46vpz,0.003408516
0.055632102,0.168520061,46vpz,8.01E-05
0.052677041,0.35857222,46vpz,0.010320051
0.055204654,0.207212393,46vpz,0.000792644
0.055653064,0.165306977,46vpz,0.000120554
0.051573071,0.405864169,46vpz,0.000632629
0.054764121,0.241167836,46vpz,0.030187557
0.054342728,0.269424907,46vpz,0.009882811
0.056363623,0.049596348,46vpz,0.001300758
0.050640928,0.441198776,46vpz,0.041361461
0.052823148,0.351757632,46vpz,0.000415407
0.05323441,0.331845103,46vpz,0.000909905
0.052801447,0.352772047,46vpz,0.030032865
0.051300753,0.416537953,46vpz,0.044047063
0.052728943,0.356154795,46vpz,0.000555518
0.05209978,0.38417768,46vpz,0.000958337
0.054604559,0.252251054,46vpz,0.000308335
0.05598494,0.125228474,46vpz,0.001321768
0.051870752,0.393886809,46vpz,0.0502576
0.053182251,0.33432061,46vpz,0.000157982
0.053508169,0.317668315,46vpz,0.000901338
0.054245604,0.275501662,46vpz,0.1
0.055478429,0.182785705,46vpz,0.006744619
0.056305092,0.100022825,46vpz,0.005486125
0.051090386,0.424583442,46vpz,0.003820056
0.054767145,0.240928873,46vpz,0.000212599
0.05533127,0.196298436,46vpz,0.032697054
0.054807873,0.238012332,46vpz,0.000263742
0.056209549,0.088156702,46vpz,0.1
0.055111195,0.214864678,46vpz,0.000773242
0.051814912,0.396246281,46vpz,0.001198122
0.056027605,0.119090462,46vpz,0.071450906
0.054977594,0.225539014,46vpz,0.000132946
0.051379242,0.413498429,46vpz,0.002228636
0.0549217,0.229594897,46vpz,0.000278038
0.054055314,0.287217774,46vpz,0.00294544
0.056378153,0.066102434,46vpz,0.099305422
0.05447743,0.260726251,46vpz,0.000215955
0.054028903,0.288578008,46vpz,0.013533335
