,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
6226,46vpz,0.954,0.22375046748589358,23.74,images/experiment/pair_37_41_out_tensor(0.5000).png,69.0,40,1,37_41_0.5,37_41_,37,41,0.5,20
226,46vpz,0.848,-1.5390403777070194,20.38,images/experiment/pair_64_41_out_tensor(0.3333).png,496.0,41,1,64_41_0.33,64_41_,64,41,0.33,34
7226,46vpz,0.902,-0.6410148527974222,18.85,images/experiment/pair_5_101_out_tensor(0.6667).png,330.0,42,1,5_101_0.67,5_101_,5,101,0.67,18
1226,46vpz,0.918,-0.3749332157871712,20.27,images/experiment/pair_5_64_out_tensor(0.3333).png,190.0,43,1,5_64_0.33,5_64_,5,64,0.33,10
2226,46vpz,0.878,-1.0401373083127987,26.98,images/experiment/pair_5_64_out_tensor(0.5000).png,417.0,44,1,5_64_0.5,5_64_,5,64,0.5,11
9626,46vpz,0.924,-0.2751526019083271,21.02,images/experiment/pair_101_92_out_tensor(0.3333).png,269.0,45,1,101_92_0.33,101_92_,101,92,0.33,52
2626,46vpz,0.87,-1.1731781268179242,19.12,images/experiment/pair_37_64_out_tensor(0.5000).png,362.0,46,1,37_64_0.5,37_64_,37,64,0.5,26
7426,46vpz,0.984,0.7226535368801142,25.33,images/experiment/pair_37_57_out_tensor(0.5000).png,452.0,47,1,37_57_0.5,37_57_,37,57,0.5,23
8026,46vpz,0.932,-0.14211178340320157,31.47,images/experiment/pair_37_101_out_tensor(0.5000).png,290.0,48,1,37_101_0.5,37_101_,37,101,0.5,32
426,46vpz,0.924,-0.2751526019083271,17.68,images/experiment/pair_37_57_out_tensor(0.3333).png,37.0,49,1,37_57_0.33,37_57_,37,57,0.33,22
9426,46vpz,0.932,-0.14211178340320157,17.4,images/experiment/pair_37_92_out_tensor(0.6667).png,167.0,50,1,37_92_0.67,37_92_,37,92,0.67,30
9826,46vpz,0.828,-1.8716424239698333,21.03,images/experiment/pair_5_64_out_tensor(0.6667).png,469.0,51,1,5_64_0.67,5_64_,5,64,0.67,12
5026,46vpz,0.932,-0.14211178340320157,19.86,images/experiment/pair_64_57_out_tensor(0.6667).png,112.0,52,1,64_57_0.67,64_57_,64,57,0.67,39
5226,46vpz,0.848,-1.5390403777070194,18.37,images/experiment/pair_37_101_out_tensor(0.3333).png,390.0,53,1,37_101_0.33,37_101_,37,101,0.33,31
5426,46vpz,0.93,-0.17537198802948295,18.4,images/experiment/pair_5_92_out_tensor(0.6667).png,143.0,54,1,5_92_0.67,5_92_,5,92,0.67,15
4026,46vpz,0.938,-0.04233116952435743,22.16,images/experiment/pair_101_64_out_tensor(0.6667).png,84.0,55,1,101_64_0.67,101_64_,101,64,0.67,51
